qc_id,sorszï¿½m,eov x,eov y,icon_url
"0","1",651395.42,231076.46,./0.png
"1","2",651743.2,232226.78,./0.png
"2","3",651822.85,231565.54,./0.png
"3","4",651620.42,231291.68,./0.png
"4","5",651622.39,231287.26,./0.png
"5","6",651621.44,231304.48,./0.png
"6","7",651621.6,231306.69,./0.png
"7","8",651605.96,231285.45,./0.png
"8","9",651798.79,231297.67,./0.png
"9","10",651622.94,231220.35,./0.png
"10","11",651621.4,231305.99,./0.png
"11","12",651893.06,231919.83,./0.png
"12","13",651919.37,232190.26,./0.png
"13","14",651913.92,232279.36,./0.png
"14","15",651813.35,231764.55,./0.png
"15","16",651760.32,231761.41,./0.png
"16","17",651354.6,230979.69,./0.png
"17","18",651366.32,230987.52,./0.png
"18","19",651364.16,230984.03,./0.png
"19","20",651317.4,230914.97,./0.png
"20","21",651312.55,230906.65,./0.png
"21","22",651299.77,230896.06,./0.png
"22","23",651304.35,230893.87,./0.png
"23","24",651300.73,230895.49,./0.png
"24","25",651298.97,230896.67,./0.png
"25","26",651254.51,230895.36,./0.png
"26","27",651254.2,230894.45,./0.png
"27","28",651253.86,230893.48,./0.png
"28","29",651386.24,231022.53,./0.png
"29","30",651383.89,231018.3,./0.png
"30","31",651310.49,231079.42,./0.png
"31","32",651343.97,231170.54,./0.png
"32","33",651344.82,231172.8,./0.png
"33","34",651345.24,231174.5,./0.png
"34","35",651351.5,231191.61,./0.png
"35","36",651296.68,231013.03,./0.png
"36","37",651370.08,231241.25,./0.png
"37","38",651406.54,231262.67,./0.png
"38","39",651403.77,231218.31,./0.png
"39","40",651417.81,231344.26,./0.png
"40","41",651413.97,231333.4,./0.png
"41","42",651480.04,231297.91,./0.png
"42","43",651481.07,231314.17,./0.png
"43","44",651540.49,231172.14,./0.png
"44","45",651426.56,231430.51,./0.png
"45","46",651244.57,231452.17,./0.png
"46","47",651439.96,232145.3,./0.png
"47","48",651444.92,232107.58,./0.png
"48","49",651564.94,232000.57,./0.png
"49","50",651453.04,232252.3,./0.png
"50","51",651580.05,232367.77,./0.png
"51","52",651562.67,232357.93,./0.png
"52","53",651562.86,232357.07,./0.png
"53","54",651535.58,232320.6,./0.png
"54","55",651139.58,231208.98,./0.png
"55","56",651071.9,231023.88,./0.png
"56","57",651108.93,231125.82,./0.png
"57","58",651860.67,231155.29,./0.png
"58","59",651860.39,231149.35,./0.png
"59","60",651751.54,231236.33,./0.png
"60","61",651820.26,231852.72,./0.png
"61","62",651818.05,231875.29,./0.png
"62","63",651818.56,231880.36,./0.png
"63","64",651818.99,231886.64,./0.png
"64","65",651867.57,231819,./0.png
"65","66",651784.62,232004.12,./0.png
"66","67",651815.25,231757.61,./0.png
"67","68",651254.71,230896.22,./0.png
